Ticker,OfferPrice,Date,FilingUrl
PINS,19.0,2019-04-18T17:22:46-04:00,https://www.sec.gov/Archives/edgar/data/1506293/000119312519111067/d697629d424b4.htm
REAL,20.0,2019-06-28T06:07:10-04:00,https://www.sec.gov/Archives/edgar/data/1573221/000119312519184923/d720814d424b4.htm
SNDL,13.0,2019-08-01T11:12:51-04:00,https://www.sec.gov/Archives/edgar/data/1766600/000119312519210209/d720415d424b4.htm
PGNY,13.0,2019-10-25T16:44:36-04:00,https://www.sec.gov/Archives/edgar/data/1551306/000104746919005913/a2239907z424b4.htm
TW,27.0,2019-04-05T17:24:29-04:00,https://www.sec.gov/Archives/edgar/data/1758730/000114420419018482/tv517881_424b4.htm
PSNL,17.0,2019-06-20T17:16:54-04:00,https://www.sec.gov/Archives/edgar/data/1527753/000119312519177650/d677649d424b4.htm
SPT,17.0,2019-12-13T16:46:12-05:00,https://www.sec.gov/Archives/edgar/data/1517375/000162828019015085/sproutsocial424b4.htm
GOTU,10.5,2019-06-06T13:38:15-04:00,https://www.sec.gov/Archives/edgar/data/1768259/000119312519166951/d709082d424b4.htm
ADPT,22.0,2014-06-25T17:17:29-04:00,https://www.sec.gov/Archives/edgar/data/1602367/000104746914005870/a2220618z424b4.htm
SY,13.8,2019-05-02T08:49:14-04:00,https://www.sec.gov/Archives/edgar/data/1758530/000119312519133974/d649858d424b4.htm
XP,,,
GOSS,16.0,2019-02-08T16:40:52-05:00,https://www.sec.gov/Archives/edgar/data/1728117/000119312519032320/d626440d424b4.htm
TIGR,8.0,2019-03-20T13:53:21-04:00,https://www.sec.gov/Archives/edgar/data/1756699/000104746919001463/a2238128z424b4.htm
LYFT,,2019-03-29T06:17:00-04:00,https://www.sec.gov/Archives/edgar/data/1759509/000119312519091446/d721841d424b4.htm
DDOG,,2019-09-19T16:32:25-04:00,https://www.sec.gov/Archives/edgar/data/1561550/000119312519249577/d745413d424b4.htm
PHR,18.0,2019-07-19T16:07:23-04:00,https://www.sec.gov/Archives/edgar/data/1412408/000119312519198016/d692551d424b4.htm
DTIL,16.0,2019-03-28T17:29:16-04:00,https://www.sec.gov/Archives/edgar/data/1357874/000119312519090666/d717633d424b4.htm
UBER,45.0,2019-05-13T06:07:15-04:00,https://www.sec.gov/Archives/edgar/data/1543151/000119312519144716/d647752d424b4.htm
PLMR,15.0,2019-04-17T16:59:46-04:00,https://www.sec.gov/Archives/edgar/data/1761312/000104746919002321/a2238510z424b4.htm
NVST,22.0,2019-09-18T17:33:32-04:00,https://www.sec.gov/Archives/edgar/data/1757073/000175707319000026/envista424b4.htm
GO,22.0,2019-06-20T17:18:32-04:00,https://www.sec.gov/Archives/edgar/data/1771515/000119312519177655/d710724d424b4.htm
FSLY,16.0,2019-05-17T16:02:58-04:00,https://www.sec.gov/Archives/edgar/data/1517413/000119312519150526/d702138d424b4.htm
BBIO,17.0,2019-06-28T16:33:00-04:00,https://www.sec.gov/Archives/edgar/data/1743881/000119312519186080/d613995d424b4.htm
PTON,,2019-09-26T06:09:57-04:00,https://www.sec.gov/Archives/edgar/data/1639825/000119312519255124/d738839d424b4.htm
JMIA,14.5,2019-04-15T07:24:08-04:00,https://www.sec.gov/Archives/edgar/data/1756708/000119312519105752/d650749d424b4.htm
BYND,25.0,2019-05-02T20:34:56-04:00,https://www.sec.gov/Archives/edgar/data/1655210/000162828019005740/beyondmeat424b4.htm
DAO,17.0,2019-10-25T13:37:12-04:00,https://www.sec.gov/Archives/edgar/data/1781753/000119312519274545/d771710d424b4.htm
NET,15.0,2019-09-13T06:07:47-04:00,https://www.sec.gov/Archives/edgar/data/1477333/000119312519244325/d735023d424b4.htm
STOK,18.0,2019-06-19T16:16:53-04:00,https://www.sec.gov/Archives/edgar/data/1623526/000119312519176488/d675029d424b4.htm
DT,16.0,2019-08-01T16:36:13-04:00,https://www.sec.gov/Archives/edgar/data/1773383/000119312519210943/d668054d424b4.htm
PSN,27.0,2019-05-09T06:34:41-04:00,https://www.sec.gov/Archives/edgar/data/275880/000119312519142103/d625480d424b4.htm
