Ticker,OfferPrice,Size_Million,Date,FilingUrl
ABCL,20.0,483.0,2020-12-14T16:27:25-05:00,https://www.sec.gov/Archives/edgar/data/1703057/000119312520316986/d29983d424b4.htm
ABNB,68.0,3490.000108,2020-12-11T06:09:36-05:00,https://www.sec.gov/Archives/edgar/data/1559720/000119312520315318/d81668d424b4.htm
ABOS,16.0,159.999984,2021-07-02T16:09:41-04:00,https://www.sec.gov/Archives/edgar/data/1576885/000119312521207605/d104413d424b4.htm
ABSI,16.0,200.0,2021-07-23T16:49:00-04:00,https://www.sec.gov/Archives/edgar/data/1672688/000162828021014341/absci424.htm
ACDC,18.0,288.0,2022-05-13T21:51:33-04:00,https://www.sec.gov/Archives/edgar/data/1881487/000119312522150480/d897680d424b4.htm
ACI,,,,
ACLX,15.0,123.75,2022-02-07T17:12:13-05:00,https://www.sec.gov/Archives/edgar/data/1786205/000119312522029768/d129231d424b4.htm
ACON,4.35,9.41775,2022-04-25T16:28:25-04:00,https://www.sec.gov/Archives/edgar/data/1635077/000168316822002903/aclarion_424b4.htm
ACRV,12.5,94.375,2022-11-16T16:31:35-05:00,https://www.sec.gov/Archives/edgar/data/1781174/000119312522286805/d383050d424b4.htm
ACT,19.0,252.8976,2021-09-16T21:06:17-04:00,https://www.sec.gov/Archives/edgar/data/1823529/000162828021018799/enactholdingsinc424b4.htm
ACTU,8.0,22.4,2024-08-13T14:50:41-04:00,https://www.sec.gov/Archives/edgar/data/1652935/000110465924088877/tm247121-39_424b4.htm
ACXP,6.0,15.0,2021-06-28T06:02:19-04:00,https://www.sec.gov/Archives/edgar/data/1736243/000110465921085915/tm2111636-10_424b4.htm
ADCT,19.0,232.666989,2020-05-18T08:52:47-04:00,https://www.sec.gov/Archives/edgar/data/1771910/000114036120011823/nt10009045x12_424b4.htm
ADPT,22.0,107.8,2014-06-25T17:17:29-04:00,https://www.sec.gov/Archives/edgar/data/1602367/000104746914005870/a2220618z424b4.htm
AESI,18.0,324.0,2023-03-10T06:06:23-05:00,https://www.sec.gov/Archives/edgar/data/1910950/000119312523066641/d292890d424b4.htm
AFYA,,,,
AHR,12.0,672.0,2024-02-08T17:27:29-05:00,https://www.sec.gov/Archives/edgar/data/1632970/000119312524028519/d354035d424b4.htm
AI,42.0,651.0,2020-12-09T16:42:07-05:00,https://www.sec.gov/Archives/edgar/data/1577526/000162828020017290/c3ai424.htm
AIP,14.0,70.0,2021-10-28T16:02:03-04:00,https://www.sec.gov/Archives/edgar/data/1667011/000119312521311263/d52087d424b4.htm
AIRS,11.0,77.0,2021-10-29T15:27:11-04:00,https://www.sec.gov/Archives/edgar/data/1870940/000110465921131735/tm2121217-21_424b3.htm
AIXI,6.8,38.76,2023-03-13T06:17:10-04:00,https://www.sec.gov/Archives/edgar/data/1935172/000121390023019350/f424b40323_xiaoicorp.htm
AKA,11.0,110.0,2021-09-23T16:16:43-04:00,https://www.sec.gov/Archives/edgar/data/1865107/000119312521280693/d191500d424b4.htm
ALAB,,,2024-03-21T16:24:47-04:00,https://www.sec.gov/Archives/edgar/data/1736297/000119312524073873/d285484d424b4.htm
ALDF,10.0,200.0,2024-10-23T10:50:16-04:00,https://www.sec.gov/Archives/edgar/data/2031561/000110465924110770/tm2426712-1_424b4.htm
ALEC,19.0,175.75,2019-02-07T13:52:39-05:00,https://www.sec.gov/Archives/edgar/data/1653087/000119312519030566/d550248d424b4.htm
ALF,10.0,250.0,2024-06-11T17:15:35-04:00,https://www.sec.gov/Archives/edgar/data/2010930/000121390024051796/ea0201265-06.htm
ALGM,14.0,350.0,2020-10-30T16:38:23-04:00,https://www.sec.gov/Archives/edgar/data/866291/000119312520282664/d38154d424b4.htm
ALGS,15.0,150.0,2020-10-19T17:21:18-04:00,https://www.sec.gov/Archives/edgar/data/1799448/000119312520272151/d31402d424b4.htm
ALMS,16.0,210.0,2024-06-28T16:57:13-04:00,https://www.sec.gov/Archives/edgar/data/1847367/000110465924076337/tm2411163-14_424b4.htm
ALRS,21.0,60.06,2019-09-13T14:33:35-04:00,https://www.sec.gov/Archives/edgar/data/903419/000104746919005221/a2239683z424b4.htm
ALXO,19.0,161.5,2020-07-17T16:27:57-04:00,https://www.sec.gov/Archives/edgar/data/1810182/000119312520194755/d913838d424b4.htm
AMLX,19.0,190.0,2022-01-10T16:02:28-05:00,https://www.sec.gov/Archives/edgar/data/1658551/000119312522005621/d155225d424b4.htm
AMPL,,,2021-09-28T06:16:15-04:00,https://www.sec.gov/Archives/edgar/data/1866692/000119312521284799/d143868d424b4.htm
AMST,5.0,15.0,2020-09-25T21:28:08-04:00,https://www.sec.gov/Archives/edgar/data/1807166/000121390020028533/ea127376-424b4_amesiteinc.htm
AMTD,12.6,542.9508588,2003-11-14T16:04:50-05:00,https://www.sec.gov/Archives/edgar/data/1173431/000095013703005984/c80472b4e424b4.htm
AMWL,18.0,741.999996,2020-09-18T16:14:25-04:00,https://www.sec.gov/Archives/edgar/data/1393584/000119312520249114/d943395d424b4.htm
AMZE,,,,
ANL,23.0,57.5,2023-09-29T16:01:43-04:00,https://www.sec.gov/Archives/edgar/data/1944552/000110465923105297/tm2225088-43_424b4.htm
ANNX,17.0,250.75,2020-07-24T17:15:30-04:00,https://www.sec.gov/Archives/edgar/data/1528115/000119312520198635/d773514d424b4.htm
ANRO,,,,
ANTX,15.0,69.0,2022-03-25T21:30:44-04:00,https://www.sec.gov/Archives/edgar/data/1880438/000119312522085459/d211954d424b4.htm
ANVS,6.0,12.0,2020-01-30T06:07:41-05:00,https://www.sec.gov/Archives/edgar/data/1477845/000104746920000594/a2240622z424b4.htm
APGE,17.0,300.05,2023-07-17T16:08:26-04:00,https://www.sec.gov/Archives/edgar/data/1974640/000110465923081627/tm2313083-15_424b4.htm
API,20.0,350.0,2020-06-26T16:16:27-04:00,https://www.sec.gov/Archives/edgar/data/1802883/000162828020009978/agora424b4.htm
APRE,15.0,85.000005,2019-10-03T20:41:06-04:00,https://www.sec.gov/Archives/edgar/data/1781983/000104746919005587/a2239817z424b4.htm
ARBB,4.0,5.0,2023-04-06T15:35:29-04:00,https://www.sec.gov/Archives/edgar/data/1930179/000121390023027935/ea176538-424b4_arbiot.htm
ARBK,15.0,112.5,2021-09-23T08:53:27-04:00,https://www.sec.gov/Archives/edgar/data/1841675/000110465921118579/tm2115473-31_424b4.htm
ARDT,16.0,192.0,2024-07-18T17:18:41-04:00,https://www.sec.gov/Archives/edgar/data/1756655/000119312524181092/d754933d424b4.htm
AREC,4.0,4.0,2019-02-15T16:19:40-05:00,https://www.sec.gov/Archives/edgar/data/1590715/000165495419001663/arec_s1.htm
ARHS,13.0,167.741938,2021-11-05T06:08:02-04:00,https://www.sec.gov/Archives/edgar/data/1875444/000119312521320815/d183044d424b4.htm
ARM,51.0,4870.5,2023-09-14T16:14:43-04:00,https://www.sec.gov/Archives/edgar/data/1973239/000119312523235320/d550931d424b4.htm
ARQT,17.0,159.375,2020-01-31T17:25:21-05:00,https://www.sec.gov/Archives/edgar/data/1787306/000119312520021681/d784371d424b4.htm
ARRY,10.0,30.0,2002-02-13T00:00:00-05:00,https://www.sec.gov/Archives/edgar/data/1100412/000103570402000094/d93460b4e424b4.htm
ARTV,12.0,167.04,2024-07-19T18:58:15-04:00,https://www.sec.gov/Archives/edgar/data/1817241/000119312524181773/d808948d424b4.htm
AS,13.0,1365.0,2024-02-02T16:22:09-05:00,https://www.sec.gov/Archives/edgar/data/1988894/000110465924010053/tm2322981-18_424b4.htm
ASAN,,,2020-09-30T06:04:19-04:00,https://www.sec.gov/Archives/edgar/data/1477720/000119312520258487/d855753d424b4.htm
ASO,13.0,203.125,2020-10-02T16:41:19-04:00,https://www.sec.gov/Archives/edgar/data/1817358/000119312520262578/d934024d424b4.htm
ASPI,4.0,5.0,2022-11-14T06:14:50-05:00,https://www.sec.gov/Archives/edgar/data/1921865/000121390022071474/f424b41122_aspisotopesinc.htm
ASST,5.0,7.5,2023-02-06T07:32:33-05:00,https://www.sec.gov/Archives/edgar/data/1920406/000121390023008250/ea172764-424b4_assetentities.htm
ATAT,11.0,52.25,2022-11-14T06:27:42-05:00,https://www.sec.gov/Archives/edgar/data/1853717/000110465922117548/tm2111252-33_424b4.htm
ATGL,4.0,7.0,2023-11-01T14:54:25-04:00,https://www.sec.gov/Archives/edgar/data/1967621/000121390023082098/f424b41023_alphatech.htm
ATLN,,,,
ATMU,19.5,275.4259755,2023-05-26T16:15:18-04:00,https://www.sec.gov/Archives/edgar/data/1921963/000110465923065464/tm2211801-25_424b4.htm
AUNA,,,,
AURA,14.0,75.6,2021-11-01T09:18:02-04:00,https://www.sec.gov/Archives/edgar/data/1501796/000119312521314667/d209588d424b4.htm
AUST,4.0,13.06,2022-05-05T06:03:47-04:00,https://www.sec.gov/Archives/edgar/data/1817740/000110465922056035/tm2214523d1_424b4.htm
AVBP,18.0,174.999996,2024-01-26T16:12:43-05:00,https://www.sec.gov/Archives/edgar/data/1868279/000110465924007261/tm2321853-23_424b4.htm
AVIR,24.0,300.0,2020-10-30T16:33:24-04:00,https://www.sec.gov/Archives/edgar/data/1593899/000119312520282645/d913778d424b4.htm
AVO,,,2020-10-02T17:06:25-04:00,https://www.sec.gov/Archives/edgar/data/1802974/000119312520262621/d829132d424b4.htm
AVR,43.0,389.51335,2006-06-29T20:25:39-04:00,https://www.sec.gov/Archives/edgar/data/1285043/000104746906009109/a2171605z424b4.htm
AVTR,14.0,2898.0,2019-05-20T06:11:35-04:00,https://www.sec.gov/Archives/edgar/data/1722482/000119312519150954/d698870d424b4.htm
AVX,,,,
AXG,10.0,200.0,2008-01-25T16:57:11-05:00,https://www.sec.gov/Archives/edgar/data/1413609/000095015308000120/p74388b4e424b4.htm
AZI,4.0,10.0,2024-08-28T06:58:16-04:00,https://www.sec.gov/Archives/edgar/data/1959726/000119312524208231/d435953d424b4.htm
AZTR,5.0,7.5,2023-06-21T16:01:49-04:00,https://www.sec.gov/Archives/edgar/data/1701478/000149315223021994/form424b4.htm
BACQ,10.0,250.0,2024-11-01T07:30:59-04:00,https://www.sec.gov/Archives/edgar/data/2028707/000121390024093200/ea0209024-08.htm
BANL,4.0,13.3,2023-03-23T15:24:47-04:00,https://www.sec.gov/Archives/edgar/data/1914805/000149315223008680/form424b4.htm
BAYA,10.0,60.0,2023-12-18T22:00:05-05:00,https://www.sec.gov/Archives/edgar/data/1969475/000149315223045337/form424b4.htm
BBIO,17.0,348.5,2019-06-28T16:33:00-04:00,https://www.sec.gov/Archives/edgar/data/1743881/000119312519186080/d613995d424b4.htm
BCAB,18.0,189.0,2020-12-16T21:35:31-05:00,https://www.sec.gov/Archives/edgar/data/1826892/000119312520319329/d258427d424b4.htm
BCAX,18.0,315.0,2024-09-13T16:14:21-04:00,https://www.sec.gov/Archives/edgar/data/2023658/000119312524218862/d821336d424b4.htm
BCYC,14.0,60.666662,2019-05-23T16:34:39-04:00,https://www.sec.gov/Archives/edgar/data/1761612/000104746919003291/a2238889z424b4.htm
BDSX,18.0,72.0,2020-10-29T16:06:42-04:00,https://www.sec.gov/Archives/edgar/data/1439725/000119312520281042/d937421d424b4.htm
BDTX,19.0,201.140004,2020-01-30T16:43:45-05:00,https://www.sec.gov/Archives/edgar/data/1701541/000119312520019694/d758790d424b4.htm
BEAG,10.0,250.0,2024-10-24T16:52:09-04:00,https://www.sec.gov/Archives/edgar/data/1852207/000121390024090424/ea0208608-13.htm
BEAM,17.0,180.000012,2020-02-06T17:46:23-05:00,https://www.sec.gov/Archives/edgar/data/1745999/000119312520026941/d221975d424b4.htm
BEAT,18.0,81.0,2008-03-19T11:01:27-04:00,https://www.sec.gov/Archives/edgar/data/1113784/000104746908003061/a2183962z424b4.htm
BEKE,20.0,2120.0,2020-08-13T09:07:46-04:00,https://www.sec.gov/Archives/edgar/data/1809587/000104746920004582/a2242260z424b4.htm
BFRI,5.0,18.0,2021-11-01T16:59:01-04:00,https://www.sec.gov/Archives/edgar/data/1858685/000149315221026892/form424b4.htm
BIAF,6.125,7.855925,2022-09-02T15:25:14-04:00,https://www.sec.gov/Archives/edgar/data/1712762/000149315222024949/form424b4.htm
BILL,22.0,216.117638,2019-12-12T06:23:20-05:00,https://www.sec.gov/Archives/edgar/data/1786352/000119312519312012/d710902d424b4.htm
BIOA,10.0,80.0,2013-05-10T16:56:33-04:00,https://www.sec.gov/Archives/edgar/data/1534287/000119312513214458/d442100d424b4.htm
BIRD,15.0,302.884605,2021-11-03T19:02:16-04:00,https://www.sec.gov/Archives/edgar/data/1653909/000162828021021575/allbirds424b4.htm
BIRK,46.0,1483.870944,2023-10-12T09:15:47-04:00,https://www.sec.gov/Archives/edgar/data/1977102/000119312523254724/d507917d424b4.htm
BJDX,10.0,21.6,2021-11-12T09:15:51-05:00,https://www.sec.gov/Archives/edgar/data/1704287/000121390021058458/f424b41121_bluejay.htm
BKHA,10.0,69.0,2024-03-22T06:21:10-04:00,https://www.sec.gov/Archives/edgar/data/2000775/000182912624001784/blackhawk_424b4.htm
BKV,18.0,270.0,2024-09-27T06:12:18-04:00,https://www.sec.gov/Archives/edgar/data/1838406/000110465924103216/tm2217921-58_424b4.htm
BLCO,18.0,630.0,2022-05-05T21:50:19-04:00,https://www.sec.gov/Archives/edgar/data/1860742/000119312522142702/d178785d424b4.htm
BLND,,,2021-07-16T09:08:29-04:00,https://www.sec.gov/Archives/edgar/data/1855747/000119312521217010/d162671d424b4.htm
BLTE,6.0,36.0,2022-04-29T14:47:18-04:00,https://www.sec.gov/Archives/edgar/data/1889109/000110465922053424/tm2132809-26_424b4.htm
BLZE,16.0,100.0,2021-11-12T06:31:20-05:00,https://www.sec.gov/Archives/edgar/data/1462056/000119312521327209/d62601d424b4.htm
BMR,15.0,0.405,2004-08-06T07:08:10-04:00,https://www.sec.gov/Archives/edgar/data/1289236/000093639204000813/a98479b4e424b4.htm
BNKK,,,,
BNL,17.0,569.5,2020-09-17T17:00:30-04:00,https://www.sec.gov/Archives/edgar/data/1424182/000119312520248132/d863791d424b4.htm
BNR,16.5,222.75,2020-06-12T09:04:58-04:00,https://www.sec.gov/Archives/edgar/data/1792267/000119312520167229/d806768d424b4.htm
BNRG,4.5,3.99994,2024-01-24T16:27:13-05:00,https://www.sec.gov/Archives/edgar/data/1901215/000121390024006113/ea192118-424b4_brenmiller.htm
BNTX,15.0,150.0,2019-10-11T16:08:37-04:00,https://www.sec.gov/Archives/edgar/data/1776985/000119312519266733/d635330d424b4.htm
BOF,6.0,7.14,2023-06-21T12:25:56-04:00,https://www.sec.gov/Archives/edgar/data/1962481/000149315223021931/form424b4.htm
BOLD,15.0,75.0,2016-07-20T16:57:06-04:00,https://www.sec.gov/Archives/edgar/data/1628738/000119312516652387/d892618d424b4.htm
BON,5.0,11.0,2021-06-25T15:55:20-04:00,https://www.sec.gov/Archives/edgar/data/1816815/000149315221015276/form424b4.htm
BORR,9.3,46.5,2019-08-01T14:39:20-04:00,https://www.sec.gov/Archives/edgar/data/1715497/000114036119013983/nt10000709x16_424b4.htm
BOW,17.0,128.000004,2024-05-24T16:40:32-04:00,https://www.sec.gov/Archives/edgar/data/2002473/000162828024025249/bowheadspecialtyholdingsin.htm
BQ,,,2025-08-05T17:21:15-04:00,https://www.sec.gov/Archives/edgar/data/1815021/000121390025072183/ea0251890-424b4_boqiihold.htm
BRBR,14.0,479.999996,2019-10-17T16:06:30-04:00,https://www.sec.gov/Archives/edgar/data/1772016/000119312519269310/d727525d424b4.htm
BRIA,4.0,10.0,2024-11-27T13:57:46-05:00,https://www.sec.gov/Archives/edgar/data/2000230/000121390024103340/ea0200081-19.htm
BRLT,12.0,99.999996,2021-09-24T16:06:47-04:00,https://www.sec.gov/Archives/edgar/data/1866757/000119312521282214/d64351d424b4.htm
BROS,23.0,484.210536,2021-09-16T17:03:19-04:00,https://www.sec.gov/Archives/edgar/data/1866581/000162828021018784/dutchbros424b4.htm
BRZE,65.0,520.0,2021-11-18T17:08:30-05:00,https://www.sec.gov/Archives/edgar/data/1676238/000119312521333968/d40379d424b4.htm
BSY,22.0,236.5,2020-09-24T08:05:38-04:00,https://www.sec.gov/Archives/edgar/data/1031308/000110465920108119/tm1922834-15_424b4.htm
BTBD,5.0,12.0,2021-11-16T13:07:09-05:00,https://www.sec.gov/Archives/edgar/data/1718224/000147793221008436/btbd_424b4.htm
BTOC,5.0,8.0,2024-05-15T08:48:07-04:00,https://www.sec.gov/Archives/edgar/data/1972529/000121390024043224/ea0200161-07.htm
BTOG,5.0,15.0,2018-10-02T14:56:57-04:00,https://www.sec.gov/Archives/edgar/data/1735556/000114420418052014/tv503923_424b4.htm
BTSG,13.0,693.333342,2024-01-26T17:09:15-05:00,https://www.sec.gov/Archives/edgar/data/1865782/000119312524016841/d631699d424b4.htm
BWAY,11.0,27.5,2019-04-17T16:12:53-04:00,https://www.sec.gov/Archives/edgar/data/1505065/000104746919002315/a2238484z424b4.htm
BWIN,,,,
BYAH,0.112,2.45,2026-01-28T08:58:45-05:00,https://www.sec.gov/Archives/edgar/data/1986247/000121390026008571/ea0256184-05.htm
BYND,25.0,240.625,2019-05-02T20:34:56-04:00,https://www.sec.gov/Archives/edgar/data/1655210/000162828019005740/beyondmeat424b4.htm
CABA,11.0,74.8,2019-10-25T16:36:54-04:00,https://www.sec.gov/Archives/edgar/data/1759138/000119312519274807/d686907d424b4.htm
CADL,8.0,72.0,2021-07-28T16:02:28-04:00,https://www.sec.gov/Archives/edgar/data/1841387/000119312521227369/d120909d424b4.htm
CAMP,11.0,75.02,2024-10-11T16:33:34-04:00,https://www.sec.gov/Archives/edgar/data/1736730/000110465924108067/tm2415452-18_424b4.htm
CAN,9.0,90.0,2019-11-21T12:18:47-05:00,https://www.sec.gov/Archives/edgar/data/1780652/000119312519297270/d773846d424b4.htm
CAPN,10.0,60.0,2024-09-20T06:02:33-04:00,https://www.sec.gov/Archives/edgar/data/2024203/000149315224037228/form424b4.htm
CART,8.0,18.48,2018-04-19T17:21:54-04:00,https://www.sec.gov/Archives/edgar/data/1676667/000114036118019078/s002177x8_424b4.htm
CAVA,22.0,317.777768,2023-06-16T16:16:59-04:00,https://www.sec.gov/Archives/edgar/data/1639438/000162828023022472/cava-424b4x61623.htm
CBLL,17.0,180.30302,2024-10-11T16:08:42-04:00,https://www.sec.gov/Archives/edgar/data/1861107/000095017024114320/ceribell_424b4.htm
CBNA,22.0,40.7,2024-10-07T07:19:14-04:00,https://www.sec.gov/Archives/edgar/data/1392272/000119312524233337/d807354d424b4.htm
CCCC,19.0,182.4,2020-10-02T17:10:25-04:00,https://www.sec.gov/Archives/edgar/data/1662579/000119312520262629/d772024d424b4.htm
CCIX,10.0,250.0,2024-05-03T15:41:12-04:00,https://www.sec.gov/Archives/edgar/data/2006291/000119312524130638/d681110d424b4.htm
CCTG,4.0,5.5,2024-01-19T16:51:34-05:00,https://www.sec.gov/Archives/edgar/data/1931717/000121390024004911/f424b40124_ccsctech.htm
CDRE,13.0,78.0,2021-11-05T16:16:30-04:00,https://www.sec.gov/Archives/edgar/data/1860543/000110465921135037/tm2115376-33_424b4.htm
CDTG,,,,
CERT,23.0,668.265,2020-12-14T17:26:35-05:00,https://www.sec.gov/Archives/edgar/data/1827090/000110465920135336/tm2030105-16_424b4.htm
