ticker,year,ipo_date,open_px,close_px,underpricing,ret_30d,ret_12m,ipo_size_m,fed_rate,sector,revenue_ltm,profitable,pe_backed,cohort,cohort_en,log_size
STOK,2019,2019-06-19,27.21,25.57,-0.060272,0.003129,-0.006648,170.3,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.1375615876686425
DOYU,2019,2019-07-17,20.3004,21.1847,0.043557,-0.233043,-0.42,66.16,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),4.1920760507154355
XHG,2019,2019-11-05,1388000.0,1411200.0,0.016715,-0.4161,-0.421032,6.94,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),1.937301774518713
SNDL,2019,2019-08-01,130.2,84.8,-0.348694,0.03184,-0.926887,121.27,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),4.7980194646687
GNLN,2019,2019-04-18,382800000.0,278520000.0,-0.272414,-0.261611,-0.854976,382.8,2.16,Consumer,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.947512659578799
AMTD,2019,2019-08-05,53.46,60.54,0.132436,-0.127849,-0.182359,15.27,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.725890119230541
GO,2019,2019-06-20,31.0,28.51,-0.080323,0.359172,0.052262,415.26,2.16,Consumer,,,0,Taux bas (2019-2021),Low Rate (2019-2021),6.028904830081827
TW,2019,2019-04-04,33.1629,34.6633,0.045242,0.20888,0.254564,1083.16,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),6.987637973854308
BNTX,2019,2019-10-10,16.2843,14.0539,-0.13697,0.382023,2.577247,45.69,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.8218794555751803
JFIN,2019,2019-05-10,8.6233,12.6606,0.468182,-0.133746,-0.668731,13.14,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.5756610130564646
TELA,2019,2019-11-08,13.75,13.35,-0.029091,-0.082397,0.061423,17.46,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.859912550411456
DDOG,2019,2019-09-19,40.35,37.55,-0.069393,-0.105459,0.78775,888.74,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),6.789804729296062
SPFI,2019,2019-05-09,16.05,15.9689,-0.005056,-0.025409,0.180249,23.27,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.1471649773142003
BYND,2019,2019-05-02,46.0,65.75,0.429348,1.303878,0.372624,1063.47,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),6.969292425497707
PHR,2019,2019-07-18,26.75,25.08,-0.06243,0.07496,-0.179825,213.97,2.16,Consumer,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.3658358182788595
PGNY,2019,2019-10-25,13.5,15.94,0.180741,0.744668,0.684442,67.14,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),4.206779991551889
DUO,2019,2019-11-01,46800.0,46800.0,0.0,0.000769,-0.226923,10.76,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.3758355547336385
SLE,2019,2019-02-26,105600.0,90720.0,-0.140909,-0.295238,-0.616931,15.73,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.7555697170701863
ALRS,2019,2019-01-02,15.2471,15.8016,0.036364,-0.012531,0.144327,0.03,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),-3.506557897319982
OPRT,2019,2019-09-26,15.7,16.17,0.029936,0.05133,-0.209648,27.06,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.2980566227426418
RMBI,2019,2019-07-02,10.4556,10.7146,0.024775,-0.029304,-0.136264,27.76,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.3235961356386037
MIRM,2019,2019-07-18,13.0,13.21,0.016154,-0.024981,0.059046,19.17,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.9533465570575532
SPT,2019,2019-12-13,18.05,16.6,-0.080332,-0.033133,1.063855,98.25,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),4.58751525074937
JFU,2019,2019-08-15,217.6,195.2,-0.102941,0.060451,-0.316598,26.76,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.286908235260028
PTON,2019,2019-09-26,27.17,25.76,-0.051895,-0.121506,0.858696,1278.83,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),7.153700876403792
EH,2019,2019-12-13,12.45,12.9,0.036145,-0.166667,-0.375969,3.62,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),1.2864740258376797
UBER,2019,2019-05-10,42.0,41.57,-0.010238,0.036565,-0.154919,7825.54,2.16,Consumer,,,0,Taux bas (2019-2021),Low Rate (2019-2021),8.965148022611967
REAL,2019,2019-06-28,28.0,28.9,0.032143,-0.381315,-0.549827,550.77,2.16,Consumer,,,0,Taux bas (2019-2021),Low Rate (2019-2021),6.3113172991402235
SXTC,2019,2019-01-04,67350.0,86100.0,0.278396,-0.071429,-0.602787,0.2,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),-1.6094379124341003
HBT,2019,2019-10-11,12.8829,12.3581,-0.040741,0.117761,-0.137053,48.37,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.878879786834892
WAFU,2019,2019-04-30,5.2,4.1,-0.211538,-0.307317,-0.587561,0.71,2.16,Other,,,0,Taux bas (2019-2021),Low Rate (2019-2021),-0.342490308946776
INMB,2019,2019-02-04,8.44,7.99,-0.053318,-0.005006,-0.51189,0.77,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),-0.2613647641344075
CHWY,2019,2019-06-14,36.0,34.99,-0.028056,-0.023721,-0.13118,2508.17,2.16,Consumer,,,0,Taux bas (2019-2021),Low Rate (2019-2021),7.82730868254974
PINS,2019,2019-04-18,23.75,24.4,0.027368,0.0,-0.25,2068.85,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),7.634748176325692
PLMR,2019,2019-04-17,18.5,18.99,0.026486,0.221696,1.73723,80.32,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),4.386018655943419
XP,2019,2019-12-11,29.1914,30.7156,0.052214,0.117818,0.296286,1011.07,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),6.918764455001449
FSLY,2019,2019-05-17,21.5,23.99,0.115814,-0.146728,0.000834,346.21,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.847045527362495
INMD,2019,2019-08-08,6.8125,6.785,-0.004037,0.92115,0.672808,48.36,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.878673025746592
HCAT,2019,2019-07-25,37.37,39.17,0.048167,-0.071483,-0.305846,227.22,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.425918711141758
TMDX,2019,2019-05-02,20.25,22.36,0.104198,0.163685,-0.19678,89.68,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),4.496247778763904
RRBI,2019,2019-05-03,52.7703,48.2129,-0.086364,-0.048358,0.113035,7.91,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.0681277817795625
DAO,2019,2019-10-25,13.5,12.5,-0.074074,0.1264,2.0248,53.19,2.16,Other,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.9738704087542263
INDO,2019,2019-12-19,11.0,10.7,-0.027273,-0.316822,-0.596262,0.98,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),-0.020202707317519466
TRVI,2019,2019-05-07,9.5,7.89,-0.169474,0.204056,-0.365019,12.99,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.5641798306825083
KRRO,2019,2019-10-03,560.0,685.0,0.223214,0.121898,0.359854,20.69,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.029650491757452
KRKR,2019,2019-11-08,260.0,261.2,0.004615,-0.410414,-0.735835,6.23,2.16,Consumer,,,0,Taux bas (2019-2021),Low Rate (2019-2021),1.8293763327993617
QNCX,2019,2019-05-09,201.7,328.9,0.63064,0.091213,0.903922,27.11,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.299902663510574
IHRT,2019,2019-07-01,15.4,15.4,0.0,-0.149351,-0.257792,0.19,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),-1.6607312068216509
DTIL,2019,2019-03-28,540.0,523.2,-0.031111,-0.25172,0.061353,69.55,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),4.242045918369452
RBKB,2019,2019-01-17,11.3,11.75,0.039823,0.0,-0.114894,9.31,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.231089091288976
MEC,2019,2019-05-09,17.0,16.47,-0.031177,-0.131147,-0.44323,47.85,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.8680711178989635
SY,2019,2019-05-02,15.1137,16.6709,0.10303,-0.278022,-0.226923,202.7,2.16,Tech,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.311727053457954
EIC,2019,2019-07-24,9.1546,9.0165,-0.015083,0.019584,-0.439154,1.14,2.16,Other,,,0,Taux bas (2019-2021),Low Rate (2019-2021),0.131028262406404
PSTL,2019,2019-05-15,11.6011,11.6011,0.0,-0.102353,-0.022766,12.39,2.16,Finance,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.516889695641051
NXTC,2019,2019-05-09,186.6,238.8,0.279743,-0.265327,1.658291,25.61,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),3.242982900211434
SONM,2019,2019-05-10,21060.0,19782.0,-0.060684,0.235669,-0.66424,15.39,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.733717947850788
NVST,2019,2019-09-18,25.65,27.95,0.089669,0.07907,-0.238998,259.39,2.16,Industrials,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.558332720638098
GOTU,2019,2019-06-06,12.1,10.48,-0.133884,-0.013359,2.526718,165.48,2.16,Other,,,0,Taux bas (2019-2021),Low Rate (2019-2021),5.108850341593211
XGN,2019,2019-09-19,16.8,17.11,0.018452,-0.119813,-0.323787,15.43,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),2.7363136663750693
HOTH,2019,2019-02-15,172.5,213.25,0.236232,-0.44197,-0.526377,0.18,2.16,Healthcare,,,0,Taux bas (2019-2021),Low Rate (2019-2021),-1.7147984280919266
